Algorithm,PH,Range,Function,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
Linear,2,TAR_1,gMAD,92.5,7.33,0.04,0.11,0.01,99.83,22.84,521.84,16.29,0.08
Linear,2,TAR_2,gMAD,97.04,2.8,0.02,0.14,0,99.84,24.36,593.18,18.01,0.06
Linear,2,ENTIRE,gMSE,87.77,11.31,0.03,0.89,0,99.08,20.37,415.13,14.42,0.1
Linear,2,TBR_2,gMSE,95.04,0,0,4.94,0.02,95.04,12.47,155.46,8.64,0.18
Linear,2,TBR_1,gMSE,78.9,0,0,21.08,0.02,78.9,14.93,223.02,10.28,0.17
Linear,2,TIR,gMSE,84.28,15.68,0.04,0,0,99.96,19.32,373.37,13.6,0.11
Linear,2,TAR_1,gMSE,93.16,6.7,0.03,0.11,0.01,99.86,22.06,486.68,15.77,0.08
Linear,2,TAR_2,gMSE,97.34,2.51,0.02,0.13,0,99.85,23.92,571.99,17.77,0.06
Linear,4,ENTIRE,cSigp01MSE,65.57,29.09,0.41,4.85,0.08,94.66,36.77,1352.26,27.16,0.19
Linear,4,TBR_2,cSigp01MSE,23.13,0,0,76.12,0.74,23.13,38.88,1511.4,32.89,0.68
Linear,4,TBR_1,cSigp01MSE,10.59,0,0,88.25,1.16,10.59,40.09,1607.23,33.04,0.54
Linear,4,TIR,cSigp01MSE,62.88,36.51,0.61,0,0,99.39,31.46,989.93,23.36,0.2
Linear,4,TAR_1,cSigp01MSE,78.42,20.19,0.16,1.11,0.11,98.61,37.62,1414.94,27.58,0.13
Linear,4,TAR_2,cSigp01MSE,75.05,20.45,0.05,4.44,0.01,95.5,55.12,3038.03,43.96,0.14
Linear,4,ENTIRE,cSigp06MSE,65.83,28.88,0.41,4.8,0.08,94.71,36.76,1351.33,27.09,0.19
Linear,4,TBR_2,cSigp06MSE,25.07,0,0,74.2,0.74,25.07,38.32,1468.71,32.18,0.67
Linear,4,TBR_1,cSigp06MSE,11.71,0,0,87.13,1.15,11.71,39.63,1570.72,32.42,0.53
Linear,4,TIR,cSigp06MSE,63.27,36.12,0.61,0,0,99.39,31.41,986.87,23.25,0.2
Linear,4,TAR_1,cSigp06MSE,78.23,20.36,0.17,1.12,0.12,98.59,37.82,1430.35,27.73,0.13
Linear,4,TAR_2,cSigp06MSE,75.13,20.33,0.05,4.48,0.01,95.46,55.04,3029.88,43.83,0.14
Linear,4,ENTIRE,cSigp01,69.09,27.66,0.71,2.31,0.23,96.75,38.59,1489.07,27.08,0.18
Linear,4,TBR_2,cSigp01,82.13,0,0,17.15,0.72,82.13,27.74,769.53,15.54,0.32
Linear,4,TBR_1,cSigp01,63.81,0,0,35.07,1.12,63.81,31.07,965.31,19.26,0.31
Linear,4,TIR,cSigp01,65.44,33.59,0.97,0,0,99.03,34.13,1164.75,23.89,0.19
Linear,4,TAR_1,cSigp01,73.9,23.75,0.45,1.16,0.74,97.65,43.31,1875.72,31.37,0.15
